state,year,agr-food-grain-production,agr-farmer-income
Andhra Pradesh,2023,182.2,10480
Arunachal Pradesh,2023,216.8,19225
Assam,2023,175.0,10675
Bihar,2023,192.5,7542
Chhattisgarh,2023,418.9,9677
Goa,2023,61.7,
Gujarat,2023,166.8,12631
Haryana,2023,727.8,22841
Himachal Pradesh,2023,222.9,12153
Jharkhand,2023,107.9,4895
Karnataka,2023,208.4,13441
Kerala,2023,21.0,17915
Madhya Pradesh,2023,548.6,8339
Maharashtra,2023,129.3,11492
Manipur,2023,140.1,11227
Meghalaya,2023,168.5,29348
Mizoram,2023,182.3,17964
Nagaland,2023,151.6,9877
Odisha,2023,262.1,5112
Punjab,2023,1174.7,26701
Rajasthan,2023,338.3,12520
Sikkim,2023,163.8,12447
Tamil Nadu,2023,128.5,11924
Telangana,2023,566.8,9403
Tripura,2023,217.8,9918
Uttar Pradesh,2023,296.7,8061
Uttarakhand,2023,171.5,13552
West Bengal,2023,206.2,6762
Andaman & Nicobar Islands,2023,,
Chandigarh,2023,,
Dadra & Nagar Haveli and Daman & Diu,2023,,
Delhi,2023,,
Jammu & Kashmir,2023,122.3,18918
Ladakh,2023,,
Lakshadweep,2023,,
Puducherry,2023,,
