state,year,ene-per-capita-electricity,ene-forest-cover
Andhra Pradesh,2021,1319,18.47
Arunachal Pradesh,2021,648,78.67
Assam,2021,339,36.10
Bihar,2021,272,8.00
Chhattisgarh,2021,2016,41.28
Goa,2021,2466,61.20
Gujarat,2021,2279,7.65
Haryana,2021,1975,3.65
Himachal Pradesh,2021,1340,27.99
Jharkhand,2021,915,29.81
Karnataka,2021,1367,20.47
Kerala,2021,763,56.78
Madhya Pradesh,2021,989,25.00
Maharashtra,2021,1307,16.53
Manipur,2021,326,74.28
Meghalaya,2021,832,75.65
Mizoram,2021,523,85.34
Nagaland,2021,345,73.72
Odisha,2021,1622,33.67
Punjab,2021,2028,3.67
Rajasthan,2021,1166,4.84
Sikkim,2021,806,47.33
Tamil Nadu,2021,1847,20.34
Telangana,2021,1551,18.89
Tripura,2021,470,72.33
Uttar Pradesh,2021,585,6.24
Uttarakhand,2021,1454,45.44
West Bengal,2021,665,18.97
Andaman & Nicobar Islands,2021,370,81.62
Chandigarh,2021,1128,21.93
Dadra & Nagar Haveli and Daman & Diu,2021,11874,37.48
Delhi,2021,1574,13.17
Jammu & Kashmir,2021,1282,10.63
Ladakh,2021,,10.63
Lakshadweep,2021,633,91.33
Puducherry,2021,1784,9.04
