state,year,agr-gross-irrigated-area
Andhra Pradesh,2021,53.4
Arunachal Pradesh,2021,18.7
Assam,2021,15.1
Bihar,2021,78.4
Chhattisgarh,2021,36.1
Goa,2021,29.5
Gujarat,2021,74.0
Haryana,2021,95.0
Himachal Pradesh,2021,23.0
Jharkhand,2021,17.1
Karnataka,2021,42.5
Kerala,2021,20.4
Madhya Pradesh,2021,56.3
Maharashtra,2021,23.4
Manipur,2021,15.0
Meghalaya,2021,39.3
Mizoram,2021,14.0
Nagaland,2021,26.0
Odisha,2021,32.2
Punjab,2021,93.5
Rajasthan,2021,44.7
Sikkim,2021,9.6
Tamil Nadu,2021,60.2
Telangana,2021,69.8
Tripura,2021,24.1
Uttarakhand,2021,56.5
Uttar Pradesh,2021,81.3
West Bengal,2021,66.5
Andaman & Nicobar Islands,2021,0.8
Chandigarh,2021,18.7
Dadra & Nagar Haveli and Daman & Diu,2021,5.7
Delhi,2021,80.9
Jammu & Kashmir,2021,42.2
Ladakh,2021,100.0
Lakshadweep,2021,0.0
Puducherry,2021,84.6
