state,year,inf-piped-water
Andaman & Nicobar Islands,2022-23,94.19
Andhra Pradesh,2022-23,61.22
Arunachal Pradesh,2022-23,81.81
Assam,2022-23,8.36
Bihar,2022-23,15.6
Chandigarh,2022-23,96.59
Chhattisgarh,2022-23,37.23
Dadra & Nagar Haveli and Daman & Diu,2022-23,53.68
Delhi,2022-23,72.99
Goa,2022-23,96.18
Gujarat,2022-23,70.76
Haryana,2022-23,72.11
Himachal Pradesh,2022-23,92.59
Jammu & Kashmir,2022-23,57.74
Jharkhand,2022-23,14.75
Karnataka,2022-23,69.8
Kerala,2022-23,20.42
Ladakh,2022-23,97.27
Lakshadweep,2022-23,30.65
Madhya Pradesh,2022-23,31.74
Maharashtra,2022-23,64.49
Manipur,2022-23,40.07
Meghalaya,2022-23,44.52
Mizoram,2022-23,83.18
Nagaland,2022-23,43.58
Odisha,2022-23,27.58
Puducherry,2022-23,91.15
Punjab,2022-23,61.44
Rajasthan,2022-23,48.16
Sikkim,2022-23,100
Tamil Nadu,2022-23,87.32
Telangana,2022-23,46
Tripura,2022-23,49.92
Uttar Pradesh,2022-23,5.61
Uttarakhand,2022-23,72.94
West Bengal,2022-23,26.95
