state,year,hlt-anaemia-women,cyd-anaemia-children
Andaman & Nicobar Islands,2019-21,57.48,40.27
Andhra Pradesh,2019-21,58.83,64.48
Arunachal Pradesh,2019-21,40.27,56.18
Assam,2019-21,65.86,70.35
Bihar,2019-21,63.52,70.54
Chandigarh,2019-21,60.3,53.66
Chhattisgarh,2019-21,60.82,68.08
Dadra & Nagar Haveli and Daman & Diu,2019-21,62.51,77.03
Delhi,2019-21,49.91,69.74
Goa,2019-21,38.95,53.36
Gujarat,2019-21,64.98,80.11
Haryana,2019-21,60.41,70.78
Himachal Pradesh,2019-21,53.01,55.45
Jammu & Kashmir,2019-21,65.89,72.82
Jharkhand,2019-21,65.3,69.17
Karnataka,2019-21,47.76,66.42
Kerala,2019-21,36.33,39.31
Ladakh,2019-21,92.78,94.45
Lakshadweep,2019-21,25.8,43.08
Madhya Pradesh,2019-21,54.66,73.64
Maharashtra,2019-21,54.24,70.06
Manipur,2019-21,29.44,43.06
Meghalaya,2019-21,53.79,44.36
Mizoram,2019-21,34.77,48.37
Nagaland,2019-21,28.88,42.82
Odisha,2019-21,64.28,65.44
Puducherry,2019-21,55.14,64.16
Punjab,2019-21,58.65,71.56
Rajasthan,2019-21,54.35,71.54
Sikkim,2019-21,41.87,54.92
Tamil Nadu,2019-21,53.41,57.57
Telangana,2019-21,57.62,70.3
Tripura,2019-21,67.15,64.47
Uttar Pradesh,2019-21,50.42,67.2
Uttarakhand,2019-21,42.55,58.67
West Bengal,2019-21,71.39,69.2
