state,year,dig-computer-literacy
Andaman & Nicobar Islands,2022-23,23.93
Andhra Pradesh,2022-23,14.36
Arunachal Pradesh,2022-23,14.7
Assam,2022-23,10.17
Bihar,2022-23,8.38
Chandigarh,2022-23,35.77
Chhattisgarh,2022-23,8.38
Dadra & Nagar Haveli and Daman & Diu,2022-23,20.83
Delhi,2022-23,41.16
Goa,2022-23,48.93
Gujarat,2022-23,18.72
Haryana,2022-23,25.15
Himachal Pradesh,2022-23,26.45
Jammu & Kashmir,2022-23,17.86
Jharkhand,2022-23,10.6
Karnataka,2022-23,22.6
Kerala,2022-23,39.83
Ladakh,2022-23,16.61
Lakshadweep,2022-23,41.25
Madhya Pradesh,2022-23,11.72
Maharashtra,2022-23,27.71
Manipur,2022-23,20.83
Meghalaya,2022-23,10.83
Mizoram,2022-23,37.15
Nagaland,2022-23,24.6
Odisha,2022-23,9.39
Puducherry,2022-23,38.49
Punjab,2022-23,19.64
Rajasthan,2022-23,14.12
Sikkim,2022-23,38.14
Tamil Nadu,2022-23,29.65
Telangana,2022-23,25.71
Tripura,2022-23,10.85
Uttar Pradesh,2022-23,11.24
Uttarakhand,2022-23,18.59
West Bengal,2022-23,13.54
