state,year,hlt-dairy-consumption
Andaman & Nicobar Islands,2019-21,61.45
Andhra Pradesh,2019-21,91.42
Arunachal Pradesh,2019-21,62.89
Assam,2019-21,56.71
Bihar,2019-21,72.57
Chandigarh,2019-21,84.55
Chhattisgarh,2019-21,44.68
Dadra & Nagar Haveli and Daman & Diu,2019-21,71
Delhi,2019-21,80.75
Goa,2019-21,79.47
Gujarat,2019-21,81.49
Haryana,2019-21,87.94
Himachal Pradesh,2019-21,85.8
Jammu & Kashmir,2019-21,87.29
Jharkhand,2019-21,53.71
Karnataka,2019-21,94.14
Kerala,2019-21,81.44
Ladakh,2019-21,91.98
Lakshadweep,2019-21,68.52
Madhya Pradesh,2019-21,64.33
Maharashtra,2019-21,73.65
Manipur,2019-21,44.57
Meghalaya,2019-21,53.16
Mizoram,2019-21,36.54
Nagaland,2019-21,61.23
Odisha,2019-21,30.15
Puducherry,2019-21,86.82
Punjab,2019-21,83.88
Rajasthan,2019-21,88.9
Sikkim,2019-21,86.26
Tamil Nadu,2019-21,89.57
Telangana,2019-21,86.98
Tripura,2019-21,43.06
Uttar Pradesh,2019-21,71.1
Uttarakhand,2019-21,75.14
West Bengal,2019-21,54.08
