state,year,inf-tv-ownership,inf-refrigerator-ownership,inf-washing-machine
Andaman & Nicobar Islands,2023-24,79.2,78,48.5
Andhra Pradesh,2023-24,84.3,59,16.4
Arunachal Pradesh,2023-24,79.9,43.3,14.9
Assam,2023-24,55.3,19.4,3.3
Bihar,2023-24,41.1,10.4,2.8
Chandigarh,2023-24,88.6,90.9,70.9
Chhattisgarh,2023-24,64.8,23.7,7.5
Dadra & Nagar Haveli and Daman & Diu,2023-24,53.2,49.3,14.7
Delhi,2023-24,88.7,86.3,75.8
Goa,2023-24,92.9,91.4,75.2
Gujarat,2023-24,65.6,61,21
Haryana,2023-24,85.3,81.7,69.2
Himachal Pradesh,2023-24,84.7,71.7,60.6
Jammu & Kashmir,2023-24,56.7,66.1,48.8
Jharkhand,2023-24,36.8,16.7,8
Karnataka,2023-24,84.4,42.9,18.6
Kerala,2023-24,80.4,83.2,51.8
Ladakh,2023-24,80.6,57.9,73.4
Lakshadweep,2023-24,66.9,85.3,57.2
Madhya Pradesh,2023-24,71.1,29.6,12.3
Maharashtra,2023-24,79.3,54.4,21
Manipur,2023-24,71.8,41.8,41.5
Meghalaya,2023-24,43.8,12.9,2.4
Mizoram,2023-24,96.8,93.2,81
Nagaland,2023-24,56.5,44.7,23.1
Odisha,2023-24,50,21.2,7
Puducherry,2023-24,92.3,86.6,55.7
Punjab,2023-24,88.6,91.9,76.9
Rajasthan,2023-24,51.5,50.3,19.4
Sikkim,2023-24,83.8,52.3,19.5
Tamil Nadu,2023-24,87.2,61.7,28.4
Telangana,2023-24,76.1,51.8,17.6
Tripura,2023-24,44.1,38.6,2.2
Uttar Pradesh,2023-24,53.5,38.1,20.8
Uttarakhand,2023-24,83.8,62.5,35.7
West Bengal,2023-24,62.4,31.8,4.8
