state,year,inf-durable-housing
Andaman & Nicobar Islands,2019-21,69.76
Andhra Pradesh,2019-21,85.55
Arunachal Pradesh,2019-21,25.86
Assam,2019-21,32.5
Bihar,2019-21,34.2
Chandigarh,2019-21,96.87
Chhattisgarh,2019-21,43.66
Dadra & Nagar Haveli and Daman & Diu,2019-21,74.95
Delhi,2019-21,93.98
Goa,2019-21,90.02
Gujarat,2019-21,77.6
Haryana,2019-21,77.37
Himachal Pradesh,2019-21,76.8
Jammu & Kashmir,2019-21,75.47
Jharkhand,2019-21,42.97
Karnataka,2019-21,64.77
Kerala,2019-21,83.93
Ladakh,2019-21,42.81
Lakshadweep,2019-21,89.12
Madhya Pradesh,2019-21,45.85
Maharashtra,2019-21,77.17
Manipur,2019-21,22.8
Meghalaya,2019-21,49.26
Mizoram,2019-21,53.9
Nagaland,2019-21,33.63
Odisha,2019-21,61.27
Puducherry,2019-21,88.69
Punjab,2019-21,80.08
Rajasthan,2019-21,54.61
Sikkim,2019-21,75.75
Tamil Nadu,2019-21,88.04
Telangana,2019-21,79.49
Tripura,2019-21,33.46
Uttar Pradesh,2019-21,40.56
Uttarakhand,2019-21,76.01
West Bengal,2019-21,55.53
