state,year,prices-avg-inflation
Andaman & Nicobar Islands,2014-2024,5.76
Andhra Pradesh,2014-2024,5.48
Assam,2014-2024,5.4
Bihar,2014-2024,4.87
Chandigarh,2014-2024,4.69
Chhattisgarh,2014-2024,4.74
Delhi,2014-2024,4.42
Goa,2014-2024,4.65
Gujarat,2014-2024,4.88
Haryana,2014-2024,5.14
Himachal Pradesh,2014-2024,4.61
Jammu & Kashmir,2014-2024,5.83
Jharkhand,2014-2024,5.03
Karnataka,2014-2024,5.39
Kerala,2014-2024,5.49
Lakshadweep,2014-2024,5.61
Madhya Pradesh,2014-2024,5.23
Maharashtra,2014-2024,5.14
Manipur,2014-2024,6.56
Meghalaya,2014-2024,4.6
Mizoram,2014-2024,5.14
Nagaland,2014-2024,5.38
Odisha,2014-2024,5.23
Puducherry,2014-2024,5.53
Punjab,2014-2024,4.82
Rajasthan,2014-2024,5.1
Sikkim,2014-2024,5.86
Tamil Nadu,2014-2024,5.55
Telangana,2014-2024,5.83
Tripura,2014-2024,5.86
Uttar Pradesh,2014-2024,5.16
Uttarakhand,2014-2024,5.17
West Bengal,2014-2024,5.45
