state,year,trn-road-deaths-per-lakh
Andaman & Nicobar Islands,2022,4.7
Andhra Pradesh,2022,15.7
Arunachal Pradesh,2022,9.6
Assam,2022,8.5
Bihar,2022,7.1
Chandigarh,2022,6.8
Chhattisgarh,2022,19.6
Dadra & Nagar Haveli and Daman & Diu,2022,7.7
Delhi,2022,7
Goa,2022,17.3
Gujarat,2022,10.8
Haryana,2022,16.5
Himachal Pradesh,2022,13.9
Jammu & Kashmir,2022,6
Jharkhand,2022,10
Karnataka,2022,17.4
Kerala,2022,12.1
Ladakh,2022,20.7
Lakshadweep,2022,2.9
Madhya Pradesh,2022,15.7
Maharashtra,2022,12.1
Manipur,2022,4
Meghalaya,2022,4.9
Mizoram,2022,9.2
Nagaland,2022,3.3
Odisha,2022,11.9
Puducherry,2022,11.3
Punjab,2022,15.6
Rajasthan,2022,13.9
Sikkim,2022,13.5
Tamil Nadu,2022,23.3
Telangana,2022,19.9
Tripura,2022,5.9
Uttar Pradesh,2022,9.7
Uttarakhand,2022,9
West Bengal,2022,6.1
