state,year,emp-casual-worker-share
Andaman & Nicobar Islands,2023-24,14.28
Andhra Pradesh,2023-24,28.66
Arunachal Pradesh,2023-24,4.32
Assam,2023-24,19.67
Bihar,2023-24,23.81
Chandigarh,2023-24,4.51
Chhattisgarh,2023-24,18.5
Dadra & Nagar Haveli and Daman & Diu,2023-24,3.98
Delhi,2023-24,6.11
Goa,2023-24,9.07
Gujarat,2023-24,13.1
Haryana,2023-24,14.38
Himachal Pradesh,2023-24,11.21
Jammu & Kashmir,2023-24,11.11
Jharkhand,2023-24,19.04
Karnataka,2023-24,22.88
Kerala,2023-24,23.87
Ladakh,2023-24,8.8
Lakshadweep,2023-24,24.34
Madhya Pradesh,2023-24,18.61
Maharashtra,2023-24,21.75
Manipur,2023-24,4.94
Meghalaya,2023-24,30.86
Mizoram,2023-24,6.01
Nagaland,2023-24,5.46
Odisha,2023-24,24.41
Puducherry,2023-24,21.5
Punjab,2023-24,19.15
Rajasthan,2023-24,12.46
Sikkim,2023-24,7.48
Tamil Nadu,2023-24,31.34
Telangana,2023-24,18.67
Tripura,2023-24,25.34
Uttar Pradesh,2023-24,14.93
Uttarakhand,2023-24,12.21
West Bengal,2023-24,23.09
