state,year,emp-self-employed
Andaman & Nicobar Islands,2023-24,40.29
Andhra Pradesh,2023-24,48.54
Arunachal Pradesh,2023-24,77.69
Assam,2023-24,59.63
Bihar,2023-24,67.23
Chandigarh,2023-24,22.25
Chhattisgarh,2023-24,63.1
Dadra & Nagar Haveli and Daman & Diu,2023-24,27.18
Delhi,2023-24,38.03
Goa,2023-24,34.64
Gujarat,2023-24,56.18
Haryana,2023-24,47.45
Himachal Pradesh,2023-24,64.01
Jammu & Kashmir,2023-24,64.18
Jharkhand,2023-24,63.29
Karnataka,2023-24,50.39
Kerala,2023-24,40.29
Ladakh,2023-24,65.16
Lakshadweep,2023-24,31.86
Madhya Pradesh,2023-24,67.84
Maharashtra,2023-24,46.89
Manipur,2023-24,72.5
Meghalaya,2023-24,53.28
Mizoram,2023-24,68.57
Nagaland,2023-24,65.61
Odisha,2023-24,62
Puducherry,2023-24,21.53
Punjab,2023-24,47.61
Rajasthan,2023-24,66.79
Sikkim,2023-24,60.35
Tamil Nadu,2023-24,35.83
Telangana,2023-24,51.9
Tripura,2023-24,64.02
Uttar Pradesh,2023-24,71.97
Uttarakhand,2023-24,57.38
West Bengal,2023-24,56.14
