state,year,trn-two-wheeler-ownership,trn-car-ownership
Andaman & Nicobar Islands,2022-23,52,15
Andhra Pradesh,2022-23,58,3
Arunachal Pradesh,2022-23,45,18
Assam,2022-23,29,4
Bihar,2022-23,31,1
Chandigarh,2022-23,70,39
Chhattisgarh,2022-23,60,4
Dadra & Nagar Haveli and Daman & Diu,2022-23,34,5
Delhi,2022-23,57,12
Goa,2022-23,82,36
Gujarat,2022-23,72,11
Haryana,2022-23,69,13
Himachal Pradesh,2022-23,31,20
Jammu & Kashmir,2022-23,30,16
Jharkhand,2022-23,45,3
Karnataka,2022-23,68,8
Kerala,2022-23,63,26
Ladakh,2022-23,23,18
Lakshadweep,2022-23,69,0
Madhya Pradesh,2022-23,66,5
Maharashtra,2022-23,61,9
Manipur,2022-23,51,15
Meghalaya,2022-23,19,11
Mizoram,2022-23,57,17
Nagaland,2022-23,12,19
Odisha,2022-23,43,2
Puducherry,2022-23,85,12
Punjab,2022-23,77,15
Rajasthan,2022-23,65,9
Sikkim,2022-23,9,14
Tamil Nadu,2022-23,71,6
Telangana,2022-23,70,7
Tripura,2022-23,33,4
Uttar Pradesh,2022-23,56,4
Uttarakhand,2022-23,54,9
West Bengal,2022-23,27,2
