state,year,dig-startup-density
Andhra Pradesh,2023,11.9
Arunachal Pradesh,2023,12.3
Assam,2023,11.6
Bihar,2023,7.8
Chhattisgarh,2023,14.1
Goa,2023,67.2
Gujarat,2023,54.5
Haryana,2023,68.6
Himachal Pradesh,2023,21.0
Jharkhand,2023,10.2
Karnataka,2023,49.6
Kerala,2023,38.7
Madhya Pradesh,2023,17.4
Maharashtra,2023,51.6
Manipur,2023,9.1
Meghalaya,2023,6.1
Mizoram,2023,11.8
Nagaland,2023,11.1
Odisha,2023,14.8
Punjab,2023,16.0
Rajasthan,2023,21.1
Sikkim,2023,3.3
Tamil Nadu,2023,38.9
Telangana,2023,50.2
Tripura,2023,6.3
Uttar Pradesh,2023,17.1
Uttarakhand,2023,26.9
West Bengal,2023,12.8
Andaman & Nicobar Islands,2023,39.4
Chandigarh,2023,119.4
Dadra & Nagar Haveli and Daman & Diu,2023,18.8
Delhi,2023,187.6
Jammu & Kashmir,2023,20.1
Ladakh,2023,14.6
Lakshadweep,2023,31.0
Puducherry,2023,34.5
