state,year,gov-voter-turnout
Andaman & Nicobar Islands,2024,64.10
Andhra Pradesh,2024,80.66
Arunachal Pradesh,2024,77.68
Assam,2024,81.56
Bihar,2024,56.19
Chandigarh,2024,67.98
Chhattisgarh,2024,72.81
Dadra & Nagar Haveli and Daman & Diu,2024,71.31
Delhi,2024,58.69
Goa,2024,76.06
Gujarat,2024,60.13
Haryana,2024,64.80
Himachal Pradesh,2024,70.90
Jammu & Kashmir,2024,58.58
Jharkhand,2024,66.19
Karnataka,2024,70.64
Kerala,2024,71.27
Ladakh,2024,71.82
Lakshadweep,2024,84.16
Madhya Pradesh,2024,66.87
Maharashtra,2024,61.33
Manipur,2024,78.19
Meghalaya,2024,76.60
Mizoram,2024,56.87
Nagaland,2024,57.72
Odisha,2024,74.44
Puducherry,2024,78.90
Punjab,2024,62.80
Rajasthan,2024,61.53
Sikkim,2024,79.88
Tamil Nadu,2024,69.72
Telangana,2024,65.67
Tripura,2024,80.93
Uttar Pradesh,2024,56.92
Uttarakhand,2024,57.22
West Bengal,2024,79.29
