state,year,fin-jan-dhan-accounts
Andhra Pradesh,2023,344.2
Arunachal Pradesh,2023,342.8
Assam,2023,820.8
Bihar,2023,651.0
Chhattisgarh,2023,732.7
Goa,2023,156.9
Gujarat,2023,326.8
Haryana,2023,434.4
Himachal Pradesh,2023,297.7
Jharkhand,2023,617.2
Karnataka,2023,349.5
Kerala,2023,220.5
Madhya Pradesh,2023,642.0
Maharashtra,2023,334.8
Manipur,2023,379.2
Meghalaya,2023,303.8
Mizoram,2023,396.5
Nagaland,2023,208.4
Odisha,2023,565.3
Punjab,2023,352.8
Rajasthan,2023,556.8
Sikkim,2023,176.8
Tamil Nadu,2023,257.9
Telangana,2023,378.9
Tripura,2023,313.6
Uttar Pradesh,2023,513.8
Uttarakhand,2023,401.2
West Bengal,2023,610.3
Andaman & Nicobar Islands,2023,169.6
Chandigarh,2023,323.3
Dadra & Nagar Haveli and Daman & Diu,2023,417.2
Delhi,2023,414.9
Jammu & Kashmir,2023,198.5
Ladakh,2023,76.4
Lakshadweep,2023,166.0
Puducherry,2023,222.6
