state,year,inf-household-electricity,inf-household-tap-water
Andhra Pradesh,2021,99.5,
Arunachal Pradesh,2021,94.8,100
Assam,2021,92.6,
Bihar,2021,96.3,96
Chhattisgarh,2021,98.8,
Goa,2021,100.0,100
Gujarat,2021,97.6,100
Haryana,2021,99.6,100
Himachal Pradesh,2021,99.5,100
Jharkhand,2021,94.3,65
Karnataka,2021,99.1,
Kerala,2021,99.6,60
Madhya Pradesh,2021,98.4,67
Maharashtra,2021,97.8,
Manipur,2021,98.1,58
Meghalaya,2021,91.9,57
Mizoram,2021,98.2,100
Nagaland,2021,98.6,94
Odisha,2021,97.0,
Punjab,2021,99.7,100
Rajasthan,2021,98.1,63
Sikkim,2021,99.3,92
Tamil Nadu,2021,99.3,
Telangana,2021,99.6,100
Tripura,2021,98.2,
Uttar Pradesh,2021,91.0,74
Uttarakhand,2021,99.6,98
West Bengal,2021,97.5,64
Andaman & Nicobar Islands,2021,97.6,100
Chandigarh,2021,99.9,50
Dadra & Nagar Haveli and Daman & Diu,2021,99.7,100
Delhi,2021,99.9,45
Jammu & Kashmir,2021,99.3,
Ladakh,2021,99.5,97
Lakshadweep,2021,99.8,40
Puducherry,2021,99.9,100
