state,year,trn-vehicle-density,trn-road-accidents,trn-nh-length
Andhra Pradesh,2022,145,16.8,53.3
Arunachal Pradesh,2022,121,10.7,52.1
Assam,2022,58,9.6,52.0
Bihar,2022,38,8.5,65.1
Chhattisgarh,2022,126,22.8,26.8
Goa,2022,476,18.6,80.8
Gujarat,2022,241,12.6,41.4
Haryana,2022,231,19.4,75.7
Himachal Pradesh,2022,107,15.0,46.8
Jharkhand,2022,99,11.8,45.6
Karnataka,2022,182,19.2,42.7
Kerala,2022,425,12.9,47.8
Madhya Pradesh,2022,111,18.5,29.7
Maharashtra,2022,171,13.5,60.0
Manipur,2022,87,4.4,82.4
Meghalaya,2022,75,5.5,51.5
Mizoram,2022,100,10.3,71.1
Nagaland,2022,128,3.7,100.7
Odisha,2022,91,13.0,37.9
Punjab,2022,324,17.1,84.7
Rajasthan,2022,130,16.2,31.4
Sikkim,2022,70,15.1,99.9
Tamil Nadu,2022,257,24.8,53.8
Telangana,2022,,21.6,44.0
Tripura,2022,56,6.6,85.7
Uttar Pradesh,2022,76,11.3,50.3
Uttarakhand,2022,123,10.3,68.5
West Bengal,2022,43,6.6,44.1
Andaman & Nicobar Islands,2022,152,5.0,40.1
Chandigarh,2022,702,7.9,131.6
Dadra & Nagar Haveli and Daman & Diu,2022,259,15.4,134.3
Delhi,2022,387,8.7,105.8
Jammu & Kashmir,2022,77,6.6,61.7
Ladakh,2022,,,0.0
Lakshadweep,2022,129,3.1,0.0
Puducherry,2022,521,14.5,56.4
