state,year,eco-per-capita-consumption
Andhra Pradesh,2023,4870
Arunachal Pradesh,2023,5276
Assam,2023,3432
Bihar,2023,3384
Chhattisgarh,2023,2466
Goa,2023,7367
Gujarat,2023,3798
Haryana,2023,4859
Himachal Pradesh,2023,5561
Jharkhand,2023,2763
Karnataka,2023,4397
Kerala,2023,5924
Madhya Pradesh,2023,3113
Maharashtra,2023,4010
Manipur,2023,4360
Meghalaya,2023,3514
Mizoram,2023,5224
Nagaland,2023,4393
Odisha,2023,2950
Punjab,2023,5315
Rajasthan,2023,4263
Sikkim,2023,7731
Tamil Nadu,2023,5310
Telangana,2023,4802
Tripura,2023,5206
Uttar Pradesh,2023,3191
Uttarakhand,2023,4641
West Bengal,2023,3239
Andaman & Nicobar Islands,2023,7332
Chandigarh,2023,7467
Dadra & Nagar Haveli and Daman & Diu,2023,4184
Delhi,2023,6576
Jammu & Kashmir,2023,4296
Ladakh,2023,4035
Lakshadweep,2023,5895
Puducherry,2023,6590
