state,year,wgn-sex-ratio,cyd-child-marriage,cyd-u5-mortality,cyd-full-immunization
Andhra Pradesh,2019-21,934,29.3,35.2,73.0
Arunachal Pradesh,2019-21,979,18.9,18.8,64.9
Assam,2019-21,964,31.8,39.1,66.4
Bihar,2019-21,908,40.8,56.4,71.0
Chhattisgarh,2019-21,960,12.1,50.4,79.7
Goa,2019-21,838,5.8,10.6,81.9
Gujarat,2019-21,955,21.8,37.6,76.3
Haryana,2019-21,893,12.5,38.7,76.9
Himachal Pradesh,2019-21,875,5.4,28.9,89.3
Jharkhand,2019-21,899,32.2,45.4,73.9
Karnataka,2019-21,978,21.3,29.5,84.1
Kerala,2019-21,951,6.3,5.2,77.8
Madhya Pradesh,2019-21,956,23.1,49.2,77.1
Maharashtra,2019-21,913,21.9,28.0,73.5
Manipur,2019-21,967,16.3,30.0,68.8
Meghalaya,2019-21,989,16.9,40.0,63.8
Mizoram,2019-21,969,8.0,24.0,72.5
Nagaland,2019-21,945,5.6,33.0,57.9
Odisha,2019-21,894,20.5,41.1,90.5
Punjab,2019-21,904,8.7,32.7,76.2
Rajasthan,2019-21,891,25.4,37.6,80.4
Sikkim,2019-21,969,10.8,11.2,80.6
Tamil Nadu,2019-21,878,12.8,22.3,89.2
Telangana,2019-21,894,23.5,29.4,79.1
Tripura,2019-21,1028,40.1,43.3,69.5
Uttar Pradesh,2019-21,941,15.8,59.8,69.6
Uttarakhand,2019-21,984,9.8,45.6,80.8
West Bengal,2019-21,973,41.6,25.4,87.8
Andaman & Nicobar Islands,2019-21,914,16.2,24.5,77.8
Chandigarh,2019-21,838,9.7,,80.9
Dadra & Nagar Haveli and Daman & Diu,2019-21,817,26.4,37.0,94.9
Delhi,2019-21,923,9.9,30.6,76.0
Jammu & Kashmir,2019-21,976,4.5,18.5,86.2
Ladakh,2019-21,1125,2.5,29.5,88.2
Lakshadweep,2019-21,1051,1.3,,86.1
Puducherry,2019-21,959,6.5,3.9,82.0
