state,year,eco-poverty-headcount
Andhra Pradesh,2021,6.06
Arunachal Pradesh,2021,13.76
Assam,2021,19.35
Bihar,2021,33.76
Chhattisgarh,2021,16.37
Goa,2021,0.84
Gujarat,2021,11.66
Haryana,2021,7.07
Himachal Pradesh,2021,4.93
Jharkhand,2021,28.81
Karnataka,2021,7.58
Kerala,2021,0.55
Madhya Pradesh,2021,20.63
Maharashtra,2021,7.81
Manipur,2021,8.10
Meghalaya,2021,27.79
Mizoram,2021,5.30
Nagaland,2021,15.43
Odisha,2021,15.68
Punjab,2021,4.75
Rajasthan,2021,15.31
Sikkim,2021,2.60
Tamil Nadu,2021,2.20
Telangana,2021,5.88
Tripura,2021,13.11
Uttar Pradesh,2021,22.93
Uttarakhand,2021,9.67
West Bengal,2021,11.89
Andaman & Nicobar Islands,2021,2.30
Chandigarh,2021,3.52
Dadra & Nagar Haveli and Daman & Diu,2021,9.21
Delhi,2021,3.43
Jammu & Kashmir,2021,4.80
Ladakh,2021,3.53
Lakshadweep,2021,1.11
Puducherry,2021,0.85
