state,year,fin-bank-branches
Andhra Pradesh,2024,16.0
Arunachal Pradesh,2024,14.9
Assam,2024,10.2
Bihar,2024,7.1
Chhattisgarh,2024,12.1
Goa,2024,46.6
Gujarat,2024,14.7
Haryana,2024,21.8
Himachal Pradesh,2024,25.8
Jharkhand,2024,10.0
Karnataka,2024,18.4
Kerala,2024,21.3
Madhya Pradesh,2024,10.6
Maharashtra,2024,12.8
Manipur,2024,8.8
Meghalaya,2024,12.6
Mizoram,2024,21.7
Nagaland,2024,10.2
Odisha,2024,13.6
Punjab,2024,24.5
Rajasthan,2024,12.5
Sikkim,2024,27.5
Tamil Nadu,2024,17.8
Telangana,2024,17.3
Tripura,2024,17.3
Uttar Pradesh,2024,9.5
Uttarakhand,2024,22.6
West Bengal,2024,10.9
Andaman & Nicobar Islands,2024,19.4
Chandigarh,2024,44.2
Dadra & Nagar Haveli and Daman & Diu,2024,22.4
Delhi,2024,23.2
Jammu & Kashmir,2024,15.8
Ladakh,2024,36.5
Lakshadweep,2024,35.7
Puducherry,2024,22.8
