state,year,eco-credit-deposit
Andhra Pradesh,2022-23,149.2
Arunachal Pradesh,2022-23,28.2
Assam,2022-23,54.2
Bihar,2022-23,48.5
Chhattisgarh,2022-23,76.4
Goa,2022-23,26.5
Gujarat,2022-23,80.6
Haryana,2022-23,64.6
Himachal Pradesh,2022-23,34.2
Jharkhand,2022-23,36.0
Karnataka,2022-23,69.2
Kerala,2022-23,67.6
Madhya Pradesh,2022-23,75.2
Maharashtra,2022-23,85.0
Manipur,2022-23,76.2
Meghalaya,2022-23,38.0
Mizoram,2022-23,47.4
Nagaland,2022-23,50.1
Odisha,2022-23,46.7
Punjab,2022-23,56.2
Rajasthan,2022-23,86.6
Sikkim,2022-23,43.4
Tamil Nadu,2022-23,109.4
Telangana,2022-23,111.9
Tripura,2022-23,42.6
Uttar Pradesh,2022-23,48.8
Uttarakhand,2022-23,38.5
West Bengal,2022-23,50.7
Andaman & Nicobar Islands,2022-23,52.0
Chandigarh,2022-23,77.9
Dadra & Nagar Haveli and Daman & Diu,2022-23,52.6
Delhi,2022-23,92.6
Jammu & Kashmir,2022-23,56.6
Ladakh,2022-23,41.6
Lakshadweep,2022-23,10.3
Puducherry,2022-23,69.2
