state,year,eco-fiscal-deficit,eco-debt-gsdp,eco-own-tax-revenue,eco-capital-expenditure
Andhra Pradesh,2021-22,2.1,32.4,5.9,9.2
Arunachal Pradesh,2021-22,3.8,45.4,5.9,28.6
Assam,2021-22,4.4,24.4,5.3,17.0
Bihar,2021-22,3.8,37.8,5.2,12.9
Chhattisgarh,2021-22,1.5,24.0,7.2,12.2
Goa,2021-22,2.9,31.2,6.9,14.1
Gujarat,2021-22,1.2,15.0,5.9,13.2
Haryana,2021-22,2.8,25.5,6.6,8.1
Himachal Pradesh,2021-22,3.0,39.0,5.6,12.8
Jharkhand,2021-22,0.8,31.4,6.5,19.3
Karnataka,2021-22,3.8,27.5,7.0,18.2
Kerala,2021-22,5.1,37.2,6.9,7.1
Madhya Pradesh,2021-22,3.3,29.0,5.9,17.0
Maharashtra,2021-22,2.1,18.1,7.1,10.7
Manipur,2021-22,5.3,44.0,6.7,12.1
Meghalaya,2021-22,5.7,41.7,6.3,16.7
Mizoram,2021-22,1.4,41.3,3.0,7.5
Nagaland,2021-22,0.7,41.6,4.2,13.8
Odisha,2021-22,3.1,12.7,6.1,22.4
Punjab,2021-22,4.8,46.8,6.9,6.4
Rajasthan,2021-22,4.0,36.6,6.6,10.3
Sikkim,2021-22,2.5,31.6,3.6,25.1
Tamil Nadu,2021-22,3.4,25.6,6.1,11.8
Telangana,2021-22,4.1,24.3,8.3,12.8
Tripura,2021-22,2.0,37.2,4.2,16.6
Uttar Pradesh,2021-22,2.1,34.2,7.9,17.3
Uttarakhand,2021-22,1.4,28.1,6.0,14.9
West Bengal,2021-22,3.7,37.7,5.1,10.0
Delhi,2021-22,0.8,1.3,,15.2
Jammu & Kashmir,2021-22,4.2,48.5,,
Puducherry,2021-22,3.5,,,
