state,year,clt-foreign-tourists
Andaman & Nicobar Islands,2023,9025
Andhra Pradesh,2023,60426
Arunachal Pradesh,2023,4496
Assam,2023,23818
Bihar,2023,546576
Chandigarh,2023,31498
Chhattisgarh,2023,953
Dadra & Nagar Haveli and Daman & Diu,2023,4048
Delhi,2023,1828116
Goa,2023,452692
Gujarat,2023,2806871
Haryana,2023,1346
Himachal Pradesh,2023,62806
Jammu & Kashmir,2023,55337
Jharkhand,2023,189261
Karnataka,2023,409333
Kerala,2023,649057
Ladakh,2023,40970
Lakshadweep,2023,755
Madhya Pradesh,2023,182685
Maharashtra,2023,3387739
Manipur,2023,3668
Meghalaya,2023,19973
Mizoram,2023,3754
Nagaland,2023,4725
Odisha,2023,45173
Puducherry,2023,31214
Punjab,2023,741734
Rajasthan,2023,1699869
Sikkim,2023,93908
Tamil Nadu,2023,1174899
Telangana,2023,160912
Tripura,2023,66708
Uttar Pradesh,2023,1601503
Uttarakhand,2023,143027
West Bengal,2023,2706942
