state,year,clt-domestic-tourists,clt-heritage-sites
AP,2023,5.16,135
Arunachal,2023,0.75,3
Assam,2023,0.24,55
Bihar,2023,0.79,70
Chhattisgarh,2023,1.02,46
Goa,2023,0.56,21
Gujarat,2023,2.95,205
Haryana,2023,0.08,91
HP,2023,2.32,40
Jharkhand,2023,1.08,13
Karnataka,2023,4.65,506
Kerala,2023,0.65,29
MP,2023,1.54,291
Maharashtra,2023,1.44,286
Manipur,2023,0.02,1
Meghalaya,2023,0.46,8
Mizoram,2023,0.19,1
Nagaland,2023,0.05,4
Odisha,2023,0.23,81
Punjab,2023,1.29,33
Rajasthan,2023,2.61,163
Sikkim,2023,2.18,3
TN,2023,3.96,412
Telangana,2023,1.67,8
Tripura,2023,0.10,8
UP,2023,2.39,743
Uttarakhand,2023,5.76,44
WB,2023,1.97,135
A&N,2023,0.84,
Chandigarh,2023,0.35,
DNHDD,2023,1.71,11
Delhi,2023,2.35,173
J&K,2023,1.69,56
Ladakh,2023,2.77,15
Lakshadweep,2023,0.78,
Puducherry,2023,0.17,7
