state,year,edu-ger-secondary,edu-ger-higher,edu-pupil-teacher
Andhra Pradesh,2021,85.4,36.5,25
Arunachal Pradesh,2021,66.5,33.7,11
Assam,2021,74.5,16.9,21
Bihar,2021,64.9,16.0,53
Chhattisgarh,2021,78.3,19.6,20
Goa,2021,83.0,33.8,26
Gujarat,2021,75.2,22.2,30
Haryana,2021,94.7,31.1,25
Himachal Pradesh,2021,94.1,43.1,15
Jharkhand,2021,68.4,18.6,29
Karnataka,2021,94.7,36.2,22
Kerala,2021,97.9,41.3,27
Madhya Pradesh,2021,70.0,28.9,24
Maharashtra,2021,93.7,,25
Manipur,2021,76.0,35.4,13
Meghalaya,2021,85.1,,20
Mizoram,2021,93.4,32.3,15
Nagaland,2021,62.2,18.8,11
Odisha,2021,80.3,22.1,17
Punjab,2021,95.1,27.4,25
Rajasthan,2021,79.2,28.7,25
Sikkim,2021,89.1,38.6,6
Tamil Nadu,2021,95.6,47.0,19
Telangana,2021,94.1,40.0,20
Tripura,2021,81.3,20.7,18
Uttar Pradesh,2021,69.3,24.1,28
Uttarakhand,2021,89.6,41.8,18
West Bengal,2021,88.2,,26
Andaman & Nicobar Islands,2021,68.6,22.6,12
Chandigarh,2021,90.1,64.8,28
Dadra & Nagar Haveli and Daman & Diu,2021,75.0,,30
Delhi,2021,111.2,49.0,33
Jammu & Kashmir,2021,60.5,25.0,14
Ladakh,2021,58.8,,8
Lakshadweep,2021,63.3,1.1,15
Puducherry,2021,76.1,61.5,18
